id,title,description,background_image_url,background_video_url,parent_id,created_at,updated_at
1,Yoga,"Follow the feedback you receive from body, mind and heart. Move in a way that sparks strength, joy and space.

Developing a daily practice, asks that you tune into what it is that you need, each new day.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/yoga-category.jpg,,5,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
2,Vinyasa,"A strong, intelligently sequenced practice. Breath initiating movement leads us into a dynamic state of flow. Peak poses, anatomical focus areas and traditional teachings merge to take you deep into the physical experience",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/vinyasa-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
3,Yin,"A gentle practice exploring the subtle body through the energetic systems and fascial tissue. Dive into depths through longer, passive holds supported by props. We seek stillness and a state of surrender",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/yin-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
4,Slow Flow,"Slower moving to still or simply soothing yourself with deep, loving breaths and sweetly flowing practices. Cool, calm and unwind",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/slow_flow-category.jpg,,1,2025-03-10 02:31:45.442128+00,2025-03-10 02:31:45.442128+00
5,Movement,"Find your perfect tempo to stretch, strengthen, and reconnect with the wisdom that lives in your body.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/movement-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
6,Mindfulness,Find your center in moments of quiet awareness.,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/mindfullness-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
7,Education,"Truths about your body's rhythms, your mind's power, and your spirit's resilience. Reclaim the wisdom that has always been yours.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/education-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
8,Pre & Post Natal,"Honor the profound journey of motherhood—nurturing your changing body, soothing your open heart, and celebrating the sacred dance between strength and surrender.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pre_post_natal_main-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
9,Series,"Curated collections for your evolving practice. Carefully crafted journeys that build upon each other, deepening your experience and nurturing transformation.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/Series-category.jpg,,,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
11,Pilates,"Sculpt, tone, strengthen and lengthen your body with this low-impact, effective movement practice.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pilates-category.jpg,,5,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
13,Pre & Post Natal,"Embrace the journey of motherhood. These practices honor the changing rhythms of your body, offering strength, softness, and space to breathe. Whether preparing for new life or nurturing yourself postpartum, move with care and celebrate the power within you.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pre_post_natal_movement-category.jpg,,5,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
17,Beginner Friendly,"Prioritise safe alignment, building strength and familiarising yourself with the practice. Reaping the benefits of a beginner's mind while you get acquainted with the basics",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/beginner-category.jpg,,1,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
18,Meditation,We learn to sit with ourselves and simply be,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/meditation-category.jpg,,6,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
19,Breathwork,"The quiet power of your breath, a bridge between body and mind.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/breathwork-category.jpg,,6,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
20,Pranayama,"The art of breath, ancient and alive. Here, each inhale and exhale becomes a deliberate act of connection—to your energy, your calm, your essence. ",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pranayama-category.jpg,,6,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
21,Yoga nidra,"Yogic sleep meditation. Drift into the space between wakefulness and sleep, guided by intention and softened by surrender.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/yoga_nidra_cover_the_fold.jpg,,6,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
22,Masterclasses,"Empowering Education and Wisdom shared by Experienced Practitioners, Healers and Teachers.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/masterclasses-category.jpg,,7,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
23,Feminine Foundations,"A space to learn, grow, and honor the wisdom of your body",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/feminine_foundations-category.jpg,,7,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
24,Pre & Post Natal,Guiding you through the transformative journey of motherhood,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/pre_post_natal_education-category.jpg,,7,2025-03-10 04:43:12.187332+00,2025-03-10 04:43:12.187332+00
33,Cycle Meditation,"A gentle journey through the seasons of your cycle. These meditations meet you where you are—whether in the bloom of energy, the quiet of release, or the stillness of renewal",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/cycle_meditation_2-category.jpg,,18,2025-03-12 03:51:33.957333+00,2025-03-12 03:51:33.957333+00
34,Collections,"Curated moments for every mood and moment. Whether you’re rising with the sun, seeking a midday spark, or winding down with the moon, these collections are here to meet you exactly where you are.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/collections-category.jpg,,,2025-03-12 03:55:36.402975+00,2025-03-12 03:55:36.402975+00
35,Energisers,In a slump? Or need to sweat it out? Try one of these offerings to get your blood pumping.,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/workouts-category.jpg,,34,2025-03-12 03:56:19.606307+00,2025-03-12 03:56:19.606307+00
36,Hatha,"A set of asanas sequenced to create balance, a union between body, mind and breath. Vinyasa minus the flow. A beautifully intentional, simple practice",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/hatha-category.jpg,,1,2025-03-12 03:56:54.684155+00,2025-03-12 03:56:54.684155+00
39,Morning Yawns,"From your bed to your mat to your day, use these classes to bridge the gap",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/morning_yawns-category.jpg,,34,2025-03-12 04:03:27.677922+00,2025-03-12 04:03:27.677922+00
40,Unwinding,"Unravel the tension from muscles, cells and mind with these practices",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/unwinding-category.jpg,,34,2025-03-12 04:07:41.465167+00,2025-03-12 04:07:41.465167+00
41,WFH Break,"Sitting at a desk for hours on end? Awaken the senses, clear the mind and reinvigorate the body",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/WFH_break-category.jpg,,34,2025-03-12 04:08:28.642117+00,2025-03-12 04:08:28.642117+00
42,Workshop,"A how-to guide for beginners, those wanting to deepen their practice and those looking to broaden their skill set with different drills and breakdowns",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/categories%20background/workshop-category.jpg,,34,2025-03-12 04:09:09.895421+00,2025-03-12 04:09:09.895421+00
