id,name,specialty,bio,card_image_url,card_video_url,created_at,updated_at,teacher_quote,profile_hero_image,profile_portrait_image,profile_footer_image,is_featured
3b94ce85-be4a-4cf8-95b9-948a08a4d1bf,Christiana Velis,Clinical Nutritionist,"Christiana Velis is a trusted clinical nutritionist based in the heart of Sydney, specialising in digestive health, women’s wellness, and hormones health. Christiana combines scientific knowledge with a compassionate, client-centred approach, offering a path to wellbeing that respects your pace and personal needs.

Christiana’s passion is to unravel the tangle of hormonal imbalances and impaired gut health, which can lead to increased PMS, mood shifts, fatigue, nutrient deficiency, and chronic disease. Christiana aims to help clients discover how these issues intertwine, and can be improved through diet and lifestyle changes. Christiana aims to make her clients feel heard, understood, and empowered to make the choices that align best with their wellbeing.

Before Christiana became a nutritionist she was a corporate lawyer. She is also a trained yoga teacher and a mum of two young kiddies. ",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Christiana.jpg,,2025-03-11 13:29:07.579476+00,2025-03-11 13:29:07.579476+00,Guiding you through a deeper level of well-being through science-based nutrition and wellness approaches,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Christiana-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Christiana-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Christiana-footer.jpg,true
3eaa970e-3ada-4814-891a-6dbd2002f592,Tara O,Sex Coach,"Tara O is incredibly passionate about helping women transform their sex lives. A sex coach, writer, speaker and sexual empowerment entrepreneur, she believes that true health and happiness come from complete wholeness, accepting every part of yourself including your authentic sexuality.

When Tara isn’t teaching women how to experience life-changing pleasure, she can be found covered in kids, Weet-bix or her husband.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//tara-0.jpg,,2025-03-11 12:29:20.275546+00,2025-03-11 12:29:20.275546+00,Helping Women Get The Pleasure They Deserve!,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Tara-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Tara-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Tara-footer.jpg,true
4f7f0ad8-df2a-4f14-b23c-c77d4af227c9,Linia Patel,Nutritionist,"With PhD in Public health and over 100 published articles on diet and health, Linia has a strong grounding in nutrition science. Yet she combines this with with her passion of translating science into easy-to-digest and practical advice which is why she is also often seen as a nutrition expert in the media. She is a British Dietetic Association Spokesperson and is regularly seen appearing on national TV and being quoted in the press. She is particularly passionate about women’s health and spends her clinical time working with women (athletes, non-athletes and everything in between).",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/linia-p.jpg,,2025-03-10 00:13:53.276809+00,2025-03-10 00:13:53.276809+00,Helping you to understand how your body works and how to become the best version of yourself,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Linia-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Linia-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Linia-footer.jpg,true
54d1b816-e109-4c42-ae34-3e55b84a4168,Elle Brown,Clinical Nutritionist • Women's Health Practitioner,"Elle Brown is a Women's wellness nutritionist, specialising in female fatigue, hormone health, emotional health and eating behaviours; binge eating and body system balance.  With 10 years experience working in the health space, Elle is passionate about education and empowerment. Known for unearthing the root cause, finding the 'why' and implementing attainable and practical strategies, Elle works closely with her clients to feel supported, heard and encouraged on their journey to health and wellness.  Elle endeavours to impart that food is not simply for fuel and often shares the importance of 'joy' within food choices; for health, happiness and energy! Elle has completed a Bachelor of Health Science in Nutrition and Dietetic Medicine and a Masters at Deakin University in Human Nutrition and Research. Forever committed to continual learning, Elle has completed further study in the emotional body and binge eating space and is a chai, chocolate and peanut butter enthusiast; feeling most at home by the ocean.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/elle-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Elle.mp4,2025-03-10 00:03:36.215412+00,2025-03-10 00:03:36.215412+00,"Providing gentle, supportive and nourishing care to Women on their healing journey.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Elle-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Elle-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Elle-footer.jpg,true
59bf2836-2bec-40d2-b2a2-a8d0d9256ecb,Hannah Korrel,Neuropsychologist • Author • Neuroscience,"Dr Korrel is an expert in the field of neuroscience and will take us on a fascinating journey through the world of mental health and its neurological basis. Author and Neuropsychologist, Dr. Korrel has spent over a decade becoming an expert on why the brain makes us do the things we do. A fierce mental health advocate, Hannah brings neurology and psychology together to explain common life dilemmas. Hannah is both a Clinical Neuropsychologist, Neuroscientist, Psychologist and author. She has worked in hospitals around Australia and currently heads up the neuropsychology service of a major hospital in Sydney. She has a neuropsychology practice in Sydney where she has helped people get the best out of their IQ by diagnosing cognitive strengths and overcoming things like ADHD, attention issues and autism. Dr Korrel regularly appeared on programs like The Project, The Today Show, and ABC radio to bring Australia easy-to-understand neuropsych tips for improving mental health and IQ.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/HannaK-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Hanna%20K.mp4,2025-03-10 00:15:02.900479+00,2025-03-10 00:15:02.900479+00,"Neuropsychologist, Author, PhD Neuroscience",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Hannah_k-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Hannah_k-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Hannah_k-footer.jpg,true
60516376-7ee6-4774-b035-e8bf6d95e955,Miranda Cheng,Alternative & Holistic health,"Holistic Pelvic Care Practitionare | Intimacy, pleasure & Sex (Re)Education Facilitator

Approaching a decade of on going studies, practice and facilitation I have been privileged to learn from the world’s leading somatic and embodiment teachers. My passion for working in the field of Holistic Pelvic Care™ and The Fembodiment Method™ continues to propel me into garnering a deeper understanding of the feminine landscape.

My greatest wish is to empower you with healing practices which bring you into a deeper connection with your femininity. To bless you with freedom, joy and the pleasure of living in confidence, radiance and feeling embodied in your true authentic self. To reclaim your pleasure as yours, understand that it is your birth rite and to expand it exponentially.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//miranda-t.jpg,,2025-03-11 11:43:25.232129+00,2025-03-11 11:43:25.232129+00,"Pelvic care intimacy, pleasure & sex (re)education",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Miranda-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Miranda-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Miranda-footer.jpg,true
61b08141-e2cc-4c85-9fae-f675dc9704fd,Steph Wall,Yoga • Meditation,"Steph has a passion for facilitating a space for students to deepen into the complexities of life through the tradition of yoga. Deeply devoted to self-discovery and engaging in the creative unfolding of life, it is clear that Steph's intention with the yoga path is to stay awake and aware during the transformational process of Life.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Steph-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Steph.mp4,2025-03-10 00:12:51.382209+00,2025-03-10 00:12:51.382209+00,"“Whenever you find yourself on the side of the majority, it’s time to pause and reflect” - Mark Twain",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Steph-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Steph-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Steph-footer.jpg,true
635a6b74-a5e3-4c10-a801-e46083dc4dbf,Alice Browning,Yoga • Meditation,"Founder of The Fold, Yogi, Writer and Mother.

I guide shapes, asanas, poses and sitting deeply in the now. Teaching full time for over a decade, the way in which I hold space for my students is unhurried, steady, strong and supportive, with a big old dose of realness. A dance Instructor, before I found my mat, teaching is like breathing, to me. Adding to my initial 500 hour TT by attending workshops, masterclasses and advanced training with the likes of Kathryn Budig, Patrick Beach, Shiva Rea and Sarah Powers over the years has aided me in developing my own distinct style.

These days, I can be found splitting my time between my little flower Dahlia, teaching in- studio and online. Always with an almond latte in hand, manifesting my dream home in the country with a wrap-around verandah, a place where neighbours are a distant memory.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/alice-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Alice_1.mp4,2025-03-09 14:39:41.711911+00,2025-03-09 14:39:41.711911+00,"Founder of The Fold, Yogi, Writer and most importantly, Mother. I guide shapes, asanas, poses and sitting deeply in the now.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alice-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alice-1.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alice-footer.jpg,true
70606142-c19b-44e7-9ef9-aadbf0e04351,Alex Farner,Yoga • Pre & Postnatal Wellbeing,"Offered as an evolving practice that grows with you, Alex's classes weave an intelligent blend of yoga, pelvic floor mobility, meridian theory and myofascial release to bolster fertility, strong and healthy pregnancies, restful and empowered postnatal support.

Feathered with breathwork, anatomical education and tools to promote calm and a regulated nervous system, this proven method is designed uniquely to support women and have resounding effects on future generations. Bridging the gap between holistic practices and the medical system, Alex cultivates knowlege to educate and empower women with awareness to enhance our experience of life.

Alex is Vinyasa and Yin trained (500+ hours), with specialities in prenatal and postnatal yoga, female health yoga and cycle support.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//alex-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Alex.mp4,2025-03-09 23:47:14.874828+00,2025-03-09 23:47:14.874828+00,"Purpose built practices to support female vitality, prenatal and postnatal growth.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alex-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alex-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Alex-footer.jpg,true
7ef137dd-c914-4928-8ab8-cd9b3c93dc47,Janet Gooding,Yoga,"Mom, Yogi, Teacher, Business Owner ~ I am a yoga teacher, retreat facilitator, and forever student. I love all things yoga and people and believe life is easier if you simply slow down. As an 800hr Experienced Registered Yoga Teacher, I aim to lead classes that are inclusive, inventive and inspiring. You can expect alignment-based flows and nourishing yin practices infused with relatable wisdom from my experience as a yogi, teacher and now mama. And sometimes I dose out a bit of tough love! My hope is for you to love yourself where you are at and empower you to make the changes you want to live your most aligned and vibrant life. When I’m not hanging out with my daughter Gigi and Labrador Tony, you can find me leading yoga retreats all over the world. From my love of yoga, people and travel, I co-founded Nectar, an international yoga retreats company. I love witnessing students rediscover their zest for life through travel and yoga. I can’t wait to connect with you on and off the mat!",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Janet-t.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Janet.mp4,2025-03-10 00:14:20.708441+00,2025-03-10 00:14:20.708441+00,My hope is for you to love yourself where you are at and empower you to make the changes you want to live your most aligned and vibrant life.,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Janet-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Janet-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Janet-footer.jpg,true
9356344d-8587-4d85-8c23-d2d32304bc90,Jacklyn Carlson,Breathwork Coach,"A Mama of two, dedicated Motherhood & Parent Coach and Breathwork Instructor. My passion lies in connecting and guiding them through the transformative journey of motherhood. I’m a catalyst for change, ready to support you on the path to self-discovery, providing spaces where women can reconnect with themselves, their bodies and their children. I offer services encompassing 1:1 coaching, online parenting courses, group programs, breathwork events, community workshops, Circle of Security programs and more.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/jaclyn-t-1.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/Jaclyn.mp4,2025-03-10 00:14:48.626696+00,2025-03-10 00:14:48.626696+00,"Support for mums, made simple",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jaclyn-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jaclyn-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jaclyn-footer.jpg,true
94891cbd-0673-447a-ae89-ac49edf381f6,Jennifer Ward,Women’s Health • Hormone Naturopath,"Understanding just how powerful the female body is has given me an even greater respect for women going through their own journey to motherhood and a burning desire to make their experience as positive as possible.

My journey into naturally caring for the woman has led me to completing a Masters in Reproductive Medicine which is helping me bridge the gap between the medical world and allied care. 

Over the last 10 years I have helped 1000’s of woman on their journey to balanced hormones and motherhood.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Jennifer.jpg,,2025-03-11 11:54:27.531913+00,2025-03-11 11:54:27.531913+00,"I help women make sense of and improve their hormones before, during and after pregnancy",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jennifer-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jennifer-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Jennifer-footer.jpg,true
b379aa84-a4c8-490d-95b9-3b01e154ba79,Emma Berry,Women's Health Osteopath,"As a mama-to-be and women’s health osteopath, Emma has a strong focus on pelvic pain, pregnancy, postpartum and pelvic floor health.  Emma strives to provide holistic, nurturing and individualised health care to women of all life stages. Her goal is to empower women to respect and better understand their bodies.

Her personal experience with endometriosis, infertility and chronic pain fuels her interest in this field, understanding first-hand the profound impact these conditions can have on someone's life. 

She cherishes the opportunity to support women through their fertility, pregnancy, or postpartum journey. Her areas of interest include pregnancy, birth preparation, postpartum care, endometriosis management, pelvic floor dysfunction, caesarean & perineal scar tissue release, nervous system support, and chronic pelvic pain. Emma has pursued advanced studies with leading Australian osteopaths in women’s pelvic health and pelvic floor rehabilitation, ensuring comprehensive care for her patients throughout menstruation, motherhood and menopause.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/emma_berry.jpg,,2025-03-13 13:11:32.106053+00,2025-03-13 13:11:32.106053+00,"Providing education and holistic, nurturing & individualized healthcare to people throughout all stages of life",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Emma-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Emma-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Emma-footer.jpg,true
c7bb75bf-915f-403e-9e88-521937cd57cb,Samantha Flook,Psychotherapist • Mindfulness • Clinical Hypnotherapist,"My sessions focus on a practical approach to therapy. Helping you understand yourself and address issues by identifying and altering patterns in your behaviour, through strategic tools & techniques. I focus on teaching you “how” to manage experiences rather than avoiding them, guiding you to move from your current state to your desired state. This includes learning “how to”:

- Express your needs and feelings
- Turn avoidance into action
- Reconnect with your body and make beneficial decisions for your health & wellbeing
- Build boundaries in relationships

Using mindfulness, strategic psychotherapy, clinical hypnotherapy, and cognitive coaching tools, I aim to empower you to make and sustain positive changes, fostering self-confidence, independence, and effectiveness in all areas of your life.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Samantha.jpg,,2025-03-11 13:44:53.078402+00,2025-03-11 13:44:53.078402+00,"Teaching you to regulate your emotions, turn self doubt into self confidence & create behaviours that serve you.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Samantha-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/samantha-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Samantha-footer.jpg,true
c8792748-d6ee-43ec-8328-2a348930c221,Erin Brooks,Pilates,"Hi, I'm Erin Brooks, a Pilates teacher based in Manly, Australia. I love putting a fresh spin on classic Pilates moves to make your workout dynamic, challenging and fun. While I keep things interesting, I always maintain a strong focus on proper form to help you get the most out of each movement. My carefully planned classes guarantee you'll leave feeling worked out and energized. Whether you're new to Pilates or a seasoned pro, I'd love to help you strengthen your body and discover what it can do!",,,2025-03-11 12:33:59.055399+00,2025-03-11 12:33:59.055399+00,PILATES INSTRUCTOR & CO-FOUNDER,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Erin-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Erin-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Erin-footer.jpg,false
ccd52ea6-2c6e-49a8-bd3d-76c408a8cfc2,Sally Jane Douglas,Women's Empowerment Mentor,"Sally Jane Douglas is a passionate women's life mastery mentor supporting women to feel deeply, live fearlessly, and love wholeheartedly.

With 17 years of experience in women's empowerment and development, Sally is devoted to supporting women to overcome self-doubt and self-abandonment so they can beam with confidence and trust themselves and their decisions impeccably. Her sweet-spot is guiding women to attune with themselves and intuition to embody self-belief and emotional resilience.

Through private mentoring and Uniquely YOU Academy, Sally compassionately guides women to connect with and live aligned to their authentic truth.",https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//sallt-j.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket//Sally%20Jane.mp4,2025-03-11 12:14:24.681399+00,2025-03-11 12:14:24.681399+00,feel deeply • live fearlessly • love wholeheartedly,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Sally_Jane_D-hero.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Sally_Jane_D-profile.jpg,https://iusmtdsrtmnjctanmruk.supabase.co/storage/v1/object/public/the_fold%20bucket/teachers%20page%20assets/Sally_Jane_D-footer.jpg,true
